store_id,store_name,ownership_type,state_region,country_code,longitude,latitude
10357,Target Virginia T-847,Licensed Store,MN,US,-92.55,47.51
6557,PDX A 2,Licensed Store,OR,US,-122.59,45.59
1010600,235 Bourke Street,Licensed Store,VIC,AU,144.97,-37.81
1014921,Oasis Al-Kharj,Licensed Store,01,SA,47.27,24.13
14667,Target Trumbull T-1956,Licensed Store,CT,US,-73.15,41.23
16329,Albertsons-Oceanside #6733,Licensed Store,CA,US,-117.3,33.18
1015467,SEC Lincoln & Yosemite - Lone Tree,Company Owned,CO,US,-104.88,39.54
1011138,汇暻生活广场店,Joint Venture,31,CN,121.48,31.2
1005589,Gwanggyo sindae station,Joint Venture,41,KR,127.49,37.18
15661,Sunvalley Mall - Concord,Company Owned,CA,US,-122.06,37.97
13828,Hillsdale,Company Owned,NJ,US,-74.04,41.0
11331,Safeway-Lafayette #783,Licensed Store,CA,US,-122.12,37.89
18748,VCU - Larrick Medical Campus,Licensed Store,VA,US,-77.43,37.54
13082,Safeway-Yelm #1619,Licensed Store,WA,US,-122.59,46.93
17868,ORF B16,Licensed Store,VA,US,-76.22,36.9
1008694,Manchester - City Labs Nelson St,Franchise,ENG,GB,-2.23,53.46
88249,Gare St Lazare - Mezzanine,Licensed Store,J,FR,2.33,48.88
1013413,嘉杰广场店,Joint Venture,31,CN,121.48,31.26
12472,Rancho Bernardo & Pomerado,Company Owned,CA,US,-117.06,33.02
1015006,Urban Center La Rioja,Licensed Store,JAL,MX,-103.39,20.67
4428,경기대점,Joint Venture,11,KR,126.96,37.56
13815,56th & Lafayette,Company Owned,IN,US,-86.26,39.85
11711,Alameda & Shelton,Company Owned,CA,US,-118.31,34.16
13867,"Valley & Grand, Walnut",Company Owned,CA,US,-117.84,34.03
10441,SR 535 & Vistana Centre,Company Owned,FL,US,-81.5,28.37
18937,Birmingham BPH AC Marriot Hotel,Licensed Store,ENG,GB,-1.91,52.48
7036,Safeway - Colorado Springs #2816,Licensed Store,CO,US,-104.82,38.81
5883,The Mall Ngamwongwan-GF,Company Owned,10,TH,100.54,13.86
9697,Vons-Henderson #1795,Licensed Store,NV,US,-115.1,35.98
1005607,Skyline Plaza,Company Owned,HE,DE,8.65,50.11
5485,6750 Ayala Avenue,Licensed Store,41,PH,121.03,14.55
8896,Super Target Caramel ST-1366,Licensed Store,IN,US,-86.23,39.94
1011437,80th & Second,Company Owned,NY,US,-73.95,40.77
1012615,宁波书城店,Joint Venture,33,CN,121.57,29.88
11258,Woodside & Gordon - Redwood City,Company Owned,CA,US,-122.22,37.47
10531,"Whittier & Passons, Pico Rivera",Company Owned,CA,US,-118.08,34.0
528,1241 Elgin Mills Road East,Company Owned,ON,CA,-79.4,43.9
18969,深圳龙岗广百店,Company Owned,44,CN,114.25,22.72
113992,Wolgae Emart,Joint Venture,11,KR,127.06,37.63
10348,Crabapple Rd & Houze Rd,Company Owned,GA,US,-84.36,34.08
1005825,Kyoto Shijo Kadonooji,Joint Venture,26,JP,135.72,35.0
16337,Sumter Landing,Company Owned,FL,US,-81.97,28.91
1011309,宝乐汇店,Joint Venture,31,CN,121.49,31.4
1983,Freiburg Hauptbahnhof,Company Owned,BW,DE,7.84,48.0
1007836,Pingtung Ziyou,Joint Venture,PIF,TW,120.49,22.67
14054,Rolling Meadows-Golf & Algonquin,Company Owned,IL,US,-88.0,42.05
68199,Target San Clemente T-2730,Licensed Store,CA,US,-117.6,33.46
3644,Otemachi Conference Center,Joint Venture,13,JP,139.76,35.69
12317,El Camino & Lawrence - Santa Clara,Company Owned,CA,US,-122.0,37.35
13316,Almaden Center - San Jose,Company Owned,CA,US,-121.86,37.22
92695,Chungbuk Univ.,Joint Venture,43,KR,127.46,36.63
14726,"Main & Chestnut, Ventura",Company Owned,CA,US,-119.29,34.28
5542,Almada,Licensed Store,11,PT,-9.16,38.66
4719,جمعية سلوى التعاونية,Licensed Store,HA,KW,48.08,29.3
14062,Randalls-Austin #2477,Licensed Store,TX,US,-97.8,30.28
91748,Liberte Place,Licensed Store,91,CN,114.15,22.33
1011819,Pantai Medical Centre (Closed),Licensed Store,14,MY,101.67,3.12
1011740,Kaiser Permanente @ Baldwin Park,Licensed Store,CA,US,-117.99,34.06
13291,Albertsons-Blythe #6587,Licensed Store,CA,US,-114.59,33.61
10611,Bidwell & Hwy 50,Company Owned,CA,US,-121.11,38.65
4167,Hanshin Mikage Classe,Joint Venture,28,JP,135.26,34.72
13684,Harmony & Timberline-Fort Collins,Company Owned,CO,US,-105.04,40.52
1006240,Stockport Stn SSPEMEA Plt 12,Licensed Store,ENG,GB,-2.16,53.4
1007233,福州群升东百分店,Company Owned,35,CN,119.3,26.06
2046,Alexa Shopping Centre,Company Owned,BE,DE,13.42,52.52
8676,Arizona Mills,Company Owned,AZ,US,-111.96,33.38
1013908,D'Prima Melawai,Licensed Store,JW,ID,106.48,-6.14
1015504,Flamingo & Arville,Company Owned,NV,US,-115.2,36.12
1013534,中港汇店,Joint Venture,31,CN,121.43,31.24
